Run,Agent,Iteration,Gross Utility
0,PPO Bidder - Gross Utility 1,0,1844.1844023786139
0,PPO Bidder - Gross Utility 1,1,10005.578277645964
0,PPO Bidder - Gross Utility 1,2,13156.312233648627
0,PPO Bidder - Gross Utility 1,3,13221.700255794723
0,PPO Bidder - Gross Utility 1,4,13129.672669070587
0,PPO Bidder - Gross Utility 1,5,12882.651252074222
0,PPO Bidder - Gross Utility 1,6,12680.432739140922
0,PPO Bidder - Gross Utility 1,7,12716.759418110976
0,PPO Bidder - Gross Utility 1,8,12762.773211473044
0,PPO Bidder - Gross Utility 1,9,12755.507875679034
0,PPO Bidder - Gross Utility 1,10,12684.065407037928
0,PPO Bidder - Gross Utility 1,11,12902.02548085825
0,PPO Bidder - Gross Utility 1,12,12625.942720685842
0,PPO Bidder - Gross Utility 1,13,12994.053067582387
0,PPO Bidder - Gross Utility 1,14,13027.957967954437
0,PPO Bidder - Gross Utility 1,15,12986.787731788376
0,PPO Bidder - Gross Utility 1,16,12898.392812961245
0,PPO Bidder - Gross Utility 1,17,12793.045443948089
0,PPO Bidder - Gross Utility 1,18,12857.222576795184
0,PPO Bidder - Gross Utility 1,19,13053.386643233474
0,PPO Bidder - Gross Utility 1,20,12925.032377539284
0,PPO Bidder - Gross Utility 1,21,12991.631288984383
0,PPO Bidder - Gross Utility 1,22,12920.188820343277
0,PPO Bidder - Gross Utility 1,23,12814.841451330121
0,PPO Bidder - Gross Utility 1,24,12872.964137682207
1,PPO Bidder - Gross Utility 1,0,1668.605454023453
1,PPO Bidder - Gross Utility 1,1,11163.188447491677
1,PPO Bidder - Gross Utility 1,2,13382.748532561962
1,PPO Bidder - Gross Utility 1,3,13113.931108183564
1,PPO Bidder - Gross Utility 1,4,12891.127477167234
1,PPO Bidder - Gross Utility 1,5,13124.82911187458
1,PPO Bidder - Gross Utility 1,6,12955.30461001433
1,PPO Bidder - Gross Utility 1,7,13026.747078655435
1,PPO Bidder - Gross Utility 1,8,12636.840724376858
1,PPO Bidder - Gross Utility 1,9,12797.889001144096
1,PPO Bidder - Gross Utility 1,10,12904.447259456254
1,PPO Bidder - Gross Utility 1,11,13096.978657997539
1,PPO Bidder - Gross Utility 1,12,12952.882831416326
1,PPO Bidder - Gross Utility 1,13,13099.400436595542
1,PPO Bidder - Gross Utility 1,14,12891.127477167234
1,PPO Bidder - Gross Utility 1,15,13149.046897854616
1,PPO Bidder - Gross Utility 1,16,13059.441089728483
1,PPO Bidder - Gross Utility 1,17,12679.22184984192
1,PPO Bidder - Gross Utility 1,18,12866.909691187198
1,PPO Bidder - Gross Utility 1,19,12962.56994580834
1,PPO Bidder - Gross Utility 1,20,12908.07992735326
1,PPO Bidder - Gross Utility 1,21,12805.154336938107
1,PPO Bidder - Gross Utility 1,22,13035.223303748448
1,PPO Bidder - Gross Utility 1,23,12725.235643203989
1,PPO Bidder - Gross Utility 1,24,12699.806967924951
2,PPO Bidder - Gross Utility 1,0,342.68167161729343
2,PPO Bidder - Gross Utility 1,1,13096.978657997539
2,PPO Bidder - Gross Utility 1,2,13335.523849900892
2,PPO Bidder - Gross Utility 1,3,13261.659602661783
2,PPO Bidder - Gross Utility 1,4,12697.385189326948
2,PPO Bidder - Gross Utility 1,5,12572.663591529763
2,PPO Bidder - Gross Utility 1,6,13037.645082346451
2,PPO Bidder - Gross Utility 1,7,13030.37974655244
2,PPO Bidder - Gross Utility 1,8,12899.603702260247
2,PPO Bidder - Gross Utility 1,9,12860.85524469219
2,PPO Bidder - Gross Utility 1,10,12891.127477167234
2,PPO Bidder - Gross Utility 1,11,12987.998621087378
2,PPO Bidder - Gross Utility 1,12,13044.910418140462
2,PPO Bidder - Gross Utility 1,13,12871.753248383206
2,PPO Bidder - Gross Utility 1,14,12843.902794506164
2,PPO Bidder - Gross Utility 1,15,13082.447986409517
2,PPO Bidder - Gross Utility 1,16,12882.651252074222
2,PPO Bidder - Gross Utility 1,17,12816.052340629123
2,PPO Bidder - Gross Utility 1,18,12808.787004835112
2,PPO Bidder - Gross Utility 1,19,13034.012414449446
2,PPO Bidder - Gross Utility 1,20,12771.249436566057
2,PPO Bidder - Gross Utility 1,21,12794.25633324709
2,PPO Bidder - Gross Utility 1,22,12816.052340629123
2,PPO Bidder - Gross Utility 1,23,13117.56377608057
2,PPO Bidder - Gross Utility 1,24,12934.719491931299
0,Truthful Competitor 10,0,3262.7095752698556
0,Truthful Competitor 10,1,165.55230067110014
0,Truthful Competitor 10,2,1547.974431822476
0,Truthful Competitor 10,3,1140.7399403906459
0,Truthful Competitor 10,4,1102.070789868929
0,Truthful Competitor 10,5,1021.1072559640844
0,Truthful Competitor 10,6,1013.8567902412625
0,Truthful Competitor 10,7,1012.6483792874589
0,Truthful Competitor 10,8,1067.0268722086232
0,Truthful Competitor 10,9,1041.6502421787466
0,Truthful Competitor 10,10,1183.0343237737736
0,Truthful Competitor 10,11,1167.3249813743262
0,Truthful Competitor 10,12,1098.4455570075181
