Run,Agent,Iteration,Total Spend
0,PPO Bidder - Gross Utility 1,0,7186.8393935013655
0,PPO Bidder - Gross Utility 1,1,3042.260740142638
0,PPO Bidder - Gross Utility 1,2,4096.9169567956205
0,PPO Bidder - Gross Utility 1,3,3851.2764265984683
0,PPO Bidder - Gross Utility 1,4,3813.837682581442
0,PPO Bidder - Gross Utility 1,5,3862.381263912659
0,PPO Bidder - Gross Utility 1,6,3711.896930888357
0,PPO Bidder - Gross Utility 1,7,3676.327875206701
0,PPO Bidder - Gross Utility 1,8,3519.5698577711773
0,PPO Bidder - Gross Utility 1,9,3541.6127532881624
0,PPO Bidder - Gross Utility 1,10,3933.2821781451003
0,PPO Bidder - Gross Utility 1,11,3397.8362891742504
0,PPO Bidder - Gross Utility 1,12,3514.4996872899465
0,PPO Bidder - Gross Utility 1,13,3279.4812982983813
0,PPO Bidder - Gross Utility 1,14,3389.877311395283
0,PPO Bidder - Gross Utility 1,15,3454.4797363129132
0,PPO Bidder - Gross Utility 1,16,3546.6159948700724
0,PPO Bidder - Gross Utility 1,17,3383.7579302274166
0,PPO Bidder - Gross Utility 1,18,3393.377903085742
0,PPO Bidder - Gross Utility 1,19,3528.504498109101
0,PPO Bidder - Gross Utility 1,20,3886.249090872698
0,PPO Bidder - Gross Utility 1,21,3518.191748938844
0,PPO Bidder - Gross Utility 1,22,3581.4979699014043
0,PPO Bidder - Gross Utility 1,23,3517.981914660678
0,PPO Bidder - Gross Utility 1,24,3635.753172211736
0,Truthful Competitor 2,0,918.5555780592298
0,Truthful Competitor 2,1,568.5421552694954
0,Truthful Competitor 2,2,562.1871696778494
0,Truthful Competitor 2,3,487.21363916951896
0,Truthful Competitor 2,4,495.0122207705661
0,Truthful Competitor 2,5,464.2231300923732
0,Truthful Competitor 2,6,418.331098610039
0,Truthful Competitor 2,7,498.99550045872184
0,Truthful Competitor 2,8,417.1413910938405
0,Truthful Competitor 2,9,422.323151552529
0,Truthful Competitor 2,10,423.6974684589107
0,Truthful Competitor 2,11,469.3333308232387
0,Truthful Competitor 2,12,483.1229234547815
0,Truthful Competitor 2,13,461.05055906233116
0,Truthful Competitor 2,14,458.87841796137997
0,Truthful Competitor 2,15,385.10776678492016
0,Truthful Competitor 2,16,521.742319830879
0,Truthful Competitor 2,17,390.3137509030616
0,Truthful Competitor 2,18,526.502650658837
0,Truthful Competitor 2,19,474.4814808224948
0,Truthful Competitor 2,20,464.93197356800533
0,Truthful Competitor 2,21,488.4534431860676
0,Truthful Competitor 2,22,465.49818966240736
0,Truthful Competitor 2,23,426.1627128393872
0,Truthful Competitor 2,24,369.5106100615049
0,Truthful Competitor 3,0,0.0
0,Truthful Competitor 3,1,12132.103026368224
0,Truthful Competitor 3,2,832.2694685746366
0,Truthful Competitor 3,3,956.9667562986048
0,Truthful Competitor 3,4,908.3812673008244
0,Truthful Competitor 3,5,887.1419832359509
0,Truthful Competitor 3,6,936.4716861956875
0,Truthful Competitor 3,7,862.2056873808366
0,Truthful Competitor 3,8,952.9997181939394
0,Truthful Competitor 3,9,932.1319505637389
0,Truthful Competitor 3,10,987.2593624740394
0,Truthful Competitor 3,11,965.6475261422825
0,Truthful Competitor 3,12,922.8740803988416
0,Truthful Competitor 3,13,922.1519323848532
0,Truthful Competitor 3,14,902.1752653844117
0,Truthful Competitor 3,15,937.2298531999494
0,Truthful Competitor 3,16,830.8089560542236
0,Truthful Competitor 3,17,891.5478729525956
0,Truthful Competitor 3,18,1045.874616214562
0,Truthful Competitor 3,19,1061.2962722616805
0,Truthful Competitor 3,20,913.4086423396659
0,Truthful Competitor 3,21,852.9147523951332
0,Truthful Competitor 3,22,866.2009211190485
0,Truthful Competitor 3,23,1002.0880096007387
0,Truthful Competitor 3,24,983.7724746052484
0,Truthful Competitor 4,0,2268.064203377369
0,Truthful Competitor 4,1,831.2140348110067
0,Truthful Competitor 4,2,771.4716303280579
0,Truthful Competitor 4,3,734.9014117335543
0,Truthful Competitor 4,4,688.5806876413188
0,Truthful Competitor 4,5,744.9415484937322
0,Truthful Competitor 4,6,713.2054604618777
0,Truthful Competitor 4,7,750.5940078048894
0,Truthful Competitor 4,8,762.7069748663322
0,Truthful Competitor 4,9,691.0408364729439
0,Truthful Competitor 4,10,827.175876347173
0,Truthful Competitor 4,11,768.5815678667616
0,Truthful Competitor 4,12,751.9470703154041
0,Truthful Competitor 4,13,696.8009627025305
0,Truthful Competitor 4,14,770.7573964873611
0,Truthful Competitor 4,15,729.8100238616538
0,Truthful Competitor 4,16,703.9649715875645
0,Truthful Competitor 4,17,730.9340651105141
0,Truthful Competitor 4,18,823.6960060117706
0,Truthful Competitor 4,19,703.6509721499203
0,Truthful Competitor 4,20,806.0386406386134
0,Truthful Competitor 4,21,733.3774189096332
0,Truthful Competitor 4,22,709.8441944443686
0,Truthful Competitor 4,23,762.9763492874241
0,Truthful Competitor 4,24,676.7061159329982
0,Truthful Competitor 5,0,3.1224443602940815
0,Truthful Competitor 5,1,0.0
0,Truthful Competitor 5,2,0.0
0,Truthful Competitor 5,3,0.0
0,Truthful Competitor 5,4,0.0
0,Truthful Competitor 5,5,0.0
0,Truthful Competitor 5,6,0.0
0,Truthful Competitor 5,7,0.0
0,Truthful Competitor 5,8,0.0
0,Truthful Competitor 5,9,0.0
0,Truthful Competitor 5,10,0.0
0,Truthful Competitor 5,11,0.0
0,Truthful Competitor 5,12,0.0
0,Truthful Competitor 5,13,0.0
0,Truthful Competitor 5,14,0.0
0,Truthful Competitor 5,15,0.0
0,Truthful Competitor 5,16,0.0
0,Truthful Competitor 5,17,0.0
0,Truthful Competitor 5,18,0.0
0,Truthful Competitor 5,19,0.0
0,Truthful Competitor 5,20,0.0
0,Truthful Competitor 5,21,0.0
0,Truthful Competitor 5,22,0.0
0,Truthful Competitor 5,23,0.0
0,Truthful Competitor 5,24,0.0
0,Truthful Competitor 6,0,41977.74628777803
0,Truthful Competitor 6,1,4.392875398099806
0,Truthful Competitor 6,2,0.0
0,Truthful Competitor 6,3,0.0
0,Truthful Competitor 6,4,0.0
0,Truthful Competitor 6,5,0.0
0,Truthful Competitor 6,6,0.0
0,Truthful Competitor 6,7,0.0
0,Truthful Competitor 6,8,0.0
